,id,question,company,answer
20,51,2005年、2006年和2007年，宁波立立电子股份有限公司所获政府补助计入当期损益的金额分别占当年利润总额的比例是多少？,宁波立立电子股份有限公司," 2005年，所获政府补助计入当期损益的金额占当年利润总额的比例是17.24%。2006年，所获政府补助计入当期损益的金额占当年利润总额的比例是22.58%。2007年，所获政府补助计入当期损益的金额占当年利润总额的比例是22.02%。
注意：以上数据均基于题目中所给出的材料计算得出。"
21,59,森赫电梯股份有限公司的主营业务是什么？,森赫电梯股份有限公司,根据给定材料，该公司主营业务包括内销收入和外销收入，其中内销收入主要来源于国内市场，占比在80%左右，外销收入主要来自国际市场，占比约为20%。因此，该公司的主营业务是生产和销售电梯、自动扶梯、自动人行道等产品，并且已经形成了较为完善的国内外营销体系和丰富的代表性项目。
22,60,多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的多大比例？,宁波立立电子股份有限公司,多晶硅成本约占2007年度产品原材料成本的71.39%。
23,67,森赫电梯股份有限公司是否有技术创新方面的认定称号？是什么？,森赫电梯股份有限公司,技术创新方面的认定称号：大世界基尼斯之最 -  - 最高的货运电梯。
24,69,珠海健帆生物科技股份有限公司的哪些产品被认定为广东省高新技术产品？,珠海健帆生物科技股份有限公司,(1)一次性使用血液灌流器 (2)DNA免疫吸附柱 (3)血液灌流机
25,72,深圳信立泰药业股份有限公司专门的研发机构信立泰技术中心工作人员中，多大比例的人员为本科以上学历？,深圳信立泰药业股份有限公司, 70.45%
26,73,新疆浩源天然气股份有限公司2012 年1-6 月的营业毛利为多少，综合毛利率为多少？,新疆浩源天然气股份有限公司,"2012年1-6月的营业毛利为142,573,082.46元，综合毛利率为27.50%。"
27,81,报告期内确成硅化学股份有限公司 _出口退税率为多少？,确成硅化学股份有限公司,13%
28,84,除浙江双飞无油轴承股份有限公司外，具有规模的自润滑轴承生产企业还有哪些？,浙江双飞无油轴承股份有限公司,目前我国生产规模最大，且以生产中高端轴承为主的三家企业为浙江长盛滑动轴承股份有限公司、浙江双飞无油轴承股份有限公司、浙江中达精密部件股份有限公司。
29,85,深圳信立泰药业股份有限公司主营业务是什么？,深圳信立泰药业股份有限公司,心血管类药物、头孢类抗生素制剂、头孢类抗生素原料
30,88,湖南南岭民用爆破器材股份有限公司的传统市场是哪里？,湖南南岭民用爆破器材股份有限公司, 项目周边的重要销售市场为怀化、张家界和娄底地区。
31,93,根据华瑞电器股份有限公司招股意见书，截至2016年12月31日，宁波胜克总资产为多少万元？,华瑞电器股份有限公司,"截至2016年12月31日，宁波胜克总资产为23,112.16万元。"
32,94,近三年，广东银禧科技股份有限公司存货周转率分别是多少？,广东银禧科技股份有限公司,公司存货周转率分别为1.84次、1.50次和1.56次。
33,95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,武汉兴图新科电子股份有限公司,GB/T28181、SIP、军用视频指挥系统技术规范等，视频标准含H.265、H.264等，音频标准含G.711、AAC等。同时，兼容多种第三方系统，并支持国产处理器、国产的操作系统、国产数据库。
34,96,西安启源机电装备股份有限公司的核心产品铁芯剪切设备的收入比重从2007年度和2009年度分别为多少？,西安启源机电装备股份有限公司,核心产品铁芯剪切设备的收入比重从2007年度和2009年度分别为43.42%和59.80%。
35,97,报告期内，湖南国科微电子股份有限公司2014年度、2015年度、2016年度营业收入和净利润分别较上年增长多大幅度？,湖南国科微电子股份有限公司,2014年度、2015年度、2016年度，营业收入分别较上年增长112.94%、103.00%、33.22%，净利润分别较上年增长331.98%、158.29%、69.80%。
36,105,昇兴集团股份有限公司本次发行的拟上市证券交易所是？,昇兴集团股份有限公司,本次股票发行结束后，发行人将尽快申请在深圳证券交易所挂牌上市。
37,106,2015年度和2016年度，深圳市超频三科技股份有限公司净利润分别同比增长多少？,深圳市超频三科技股份有限公司,"2015年度净利润同比增长11.54%,2016年度净利润同比增长9.98%。"
38,112,上海真兰仪表科技股份有限公司实际持有的罗德精密的初始工商登记发起人有哪些？,上海真兰仪表科技股份有限公司,罗德精密的初始工商登记发起人为唐建荣、汪顺来和叶小容。
39,113,华瑞电器股份有限公司，宁波胜克2016年度实现净利润为多少万元？,华瑞电器股份有限公司,宁波胜克2016年度实现净利润为350.61万元。
40,121,在2010年，东莞勤上光电股份有限公司在户外半导体照明领域的市场占有率为多少？,东莞勤上光电股份有限公司,15.31%
41,125,报告期内，汉嘉设计集团股份有限公司期末应收账款相对较高的原因是什么？,汉嘉设计集团股份有限公司,期末应收账款相对较高的原因主要是因为：公司主营业务收入逐年增长，建筑设计业务的执行过程及业主结算方式导致公司收款滞后于合同约定付款期，公司提供设计服务的项目建设周期较长，以及政府审批周期等原因导致的款项支付延迟。此外，公司账龄一年以上应收账款余额呈现增长趋势，受公司业务发展及客户付款审批流程等因素影响，部分客户未能按照合同约定及时付款。
42,126,上海真兰仪表科技股份有限公司2020年增资后的投后估值是多少？,上海真兰仪表科技股份有限公司,2020年增资后的投后估值是13.99亿元。
43,129,截至2020年12月31日，湖南长远锂科股份有限公司的控股股东是谁？通过何种方式持有公司多少股权？,湖南长远锂科股份有限公司,截至2020年12月31日，五矿股份是公司的控股股东。五矿股份直接持有公司22.88%股权，并通过长沙矿冶院间接持有公司22.88%股权，合计持有公司45.76%股权。
44,131,深圳市铁汉生态环境股份有限公司的主营业务是什么？,深圳市铁汉生态环境股份有限公司,生态修复和园林绿化工程收入
45,132,深圳市超频三科技股份有限公司生产产品所需的主要直接材料有哪些？,深圳市超频三科技股份有限公司,公司生产产品所需的主要直接材料包括铝带、铝型材、塑胶件、风扇等。
46,133,报告期内，确成硅化学股份有限公司对外销售的部分硫酸产品是什么规格？,确成硅化学股份有限公司,对外销售的部分硫酸产品规格为92.5%、98%、104.5%。
47,134,森赫电梯股份有限公司与哪些高等教育机构开展合作？,森赫电梯股份有限公司,根据给定材料，公司与清华大学、杭州电子科技大学、湖州师范学院等国内外知名院校开展了一系列产学研合作。
48,135,西安启源机电装备股份有限公司董事是谁？,西安启源机电装备股份有限公司,根据以上材料，可知董事会成员包括董事长周康、董事黄常青、董事张文辉、董事胡运兴、董事李增友。
49,136,2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是多少？,大博医疗科技股份有限公司,2017年1-6月，向前10名客户的销售额合计占当期营业收入的比例是39.57%。
50,140,南京中电联环保股份有限公司的经营范围是？,南京中电联环保股份有限公司,根据给定材料，该公司的经营范围是“工业水处理业务相关的研发、设计、制造、安装、调试、培训、售后服务以及相关技术和产品的咨询、转让、培训”。
51,144,青海互助青稞酒股份有限公司的主营业务是什么？,青海互助青稞酒股份有限公司, 公司的主营业务是青稞酒的研发、生产和销售。
52,146,湖南国科微电子股份有限公司业务分为哪些产品线？,湖南国科微电子股份有限公司,"
公司的产品线主要包括广播电视、智能监控、固态存储、物联网四大类。"
53,148,珠海健帆生物科技股份有限公司的核心技术产品有哪些？,珠海健帆生物科技股份有限公司,公司的核心技术产品包括血液灌流器产品和血液灌流技术。
54,149,湖南长远锂科股份有限公司所属细分子行业是什么？,湖南长远锂科股份有限公司,三元正极材料行业
55,155,浙江开尔新材料股份有限公司主要消耗的能源是什么？,浙江开尔新材料股份有限公司,我国是燃煤大国，煤炭占一次能源消费总量的75%。
56,157,云南沃森生物技术股份有限公司的第一个产品是什么？何时上市？,云南沃森生物技术股份有限公司,沃森生物的第一个产品是冻干 Hib 结合疫苗，于2009年6月取得生产批件并上市销售。
57,160,湖南南岭民用爆破器材股份有限公司技术中心现有多少研发人员？其中具有高级职称和中级职称的人员分别有多少人？,湖南南岭民用爆破器材股份有限公司,技术中心现有38名研发人员，其中具有高级职称的人员有6人，中级职称的人员有18人。
58,163,常熟风范电力设备股份有限公司的主营业务是什么？ 是否在报告期内发生重大变化？,常熟风范电力设备股份有限公司,根据给定材料，该公司的主营业务是输电线路铁塔的研发、生产和销售。在近几年内，该公司的主营业务没有发生重大变化。
59,164,联化科技股份有限公司目前的主要产品是什么？,联化科技股份有限公司,公司目前的主要产品是医药中间体和农药中间体系列产品。
60,165,依据招股意向书，常熟风范电力设备股份有限公司本次发行股票数量是多少？,常熟风范电力设备股份有限公司,"本次发行股票数量为不超过2,200万股。"
61,169,根据大连派思燃气系统股份有限公司招股意向书，预计到2030年，天然气发电用气在天然气消费结构中的比例将上升到多少？,大连派思燃气系统股份有限公司,"能否根据给定材料回答问题: 能
答案: 35%"
62,171,青海互助青稞酒股份有限公司主要困难是什么？,青海互助青稞酒股份有限公司, 青稞酒营销网络与物流配送建设项目等，上述项目的实施如果仅仅依靠公司自身积累将存在较大的资金压力，需要借助资本市场拓宽融资渠道，解决发展所需的资金问题。
63,174,兰州海默科技股份有限公司的主营业务有何季节性特征？,兰州海默科技股份有限公司," 公司上半年主营业务收入占全年主营业务收入的平均百分比为38.69%，上半
年净利润占全年净利润的平均百分比为26.12%。多相流量计的销售及相关服务主要在生产石油天然气的地区和国家。世界石油探明储量约有1.2万亿桶，仅中东地区就占到了68%，其余依次为美洲、非洲、俄罗斯和亚太地区，分别占14%、7%、4.8%和4.27%。（资料来源：中国产业竞争情报网）"
64,175,汉嘉设计集团股份有限公司法定代表人是谁？,汉嘉设计集团股份有限公司,法定代表人是杨小军。
65,179,湖南国科微电子股份有限公司的主营业务是什么？,湖南国科微电子股份有限公司,公司的主营业务是集成电路芯片的设计、研发、销售。
66,182,江苏爱康太阳能科技股份有限公司拥有的参股子公司是哪些？,江苏爱康太阳能科技股份有限公司,广东爱康
67,184,西安启源机电装备股份有限公司专用设备销售价格波动的主要原因是什么？,西安启源机电装备股份有限公司,专用设备销售价格波动的主要原因是市场需求的变化以及市场竞争的加剧。
68,185,从长期来看，影响烟台杰瑞石油服务集团股份有限公司所处行业景气程度的因素有哪些？,烟台杰瑞石油服务集团股份有限公司," 
1. 原油及天然气勘探开发支出的增长将对行业的发展产生积极的影响。
2. 随着国内三大石油公司勘探开发资本性支出的增加，将会推动行业的发展。
3. 提高老油田采收率和延缓产能递减速度将成为世界石油稳产、增产的重大课题，为石油天然气设备和油田技术服务提供了更大的市场需求。
4. 我国海上油田技术服务市场快速扩张，技术亟需扩展，也会促进行业的发展。"
69,186,北京天宜上佳高新材料股份有限公司外购件有哪些？,北京天宜上佳高新材料股份有限公司,新大钢背、检修大钢背、小钢背、三角托、卡簧
70,189,浙江双飞无油轴承股份有限公司目前的主要产品应用在哪些下游领域？,浙江双飞无油轴承股份有限公司," 
目前的主要产品应用在汽车制造、工程机械、模具制造及液压设备等机械制造领域。"
71,194,昇兴集团股份有限公司的主要产品是什么？其主要原材料是什么？,昇兴集团股份有限公司,公司的主要业务为从事食品饮料金属包装容器的研发、设计、生产和销售。其主要产品的原材料包括马口铁、铝材等。
72,197,新疆浩源天然气股份有限公司从事的业务具有较为明显的区域性特征，主要体现在什么方面？,新疆浩源天然气股份有限公司, (1)区域经济的发展，有利于天然气产业市场的培育，可以促进市场开发；区域经济发展越好，天然气需求越大，天然气产业发展的基础越好；(2)区域内气源产地的距离，直接影响到天然气管道的长度以及建设规模，并最终影响管道的经济效益。
73,199,宁波立立电子股份有限公司本次发行多少股？,宁波立立电子股份有限公司,本次发行的股票数量没有在给定材料中明确说明。
74,200,截至2011年，内蒙古君正能源化工股份有限公司正在从事的研发项目有哪些？,内蒙古君正能源化工股份有限公司,公司正在从事的研发项目包括利用电石炉尾气综合利用可研项目和利用硅铁炉尾气余热利用项目，上述两项技术均为填补国内空白的项目。
75,202,大连派思燃气系统股份有限公司在哪些年份获得了美国GE公司的奖项？,大连派思燃气系统股份有限公司,2008年和2010年，公司先后获得美国GE公司最佳新供货商奖和最佳供货质量奖。
76,206,森赫电梯股份有限公司境外销售的获客方式有哪些？,森赫电梯股份有限公司, 公司采取多种方式拓展海外市场，包括通过使领馆推介获取相关客户资源、积极参加国外电梯展会和综合博览会、在当地市场投放广告以获取客户资源以及通过世界浙商大会和浙商总会年会进行商务沟通洽谈等方式。
77,207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,武汉兴图新科电子股份有限公司,"计划使用本次发行募集资金的40,584.83万元用于补充流动资金。"
78,208,烟台杰瑞石油服务集团股份有限公司在成立以来业务范围如何扩展？,烟台杰瑞石油服务集团股份有限公司, 公司成立于2003年，主要从事油田、矿山设备维修改造及配件销售业务。经过多年的发展，公司已经形成三大业务板块相互促进、协同发展，共享技术储备和市场资源的良性互动局面。目前，公司的业务范围主要包括油田、矿山设备维修改造及配件销售、油田专用设备制造以及海上油田钻采平台工程作业服务。
79,209,截至本招股意向书签署日，浙江开尔新材料股份有限公司的全资子公司是哪些？,浙江开尔新材料股份有限公司,截至招股意向书签署日，公司的全资子公司包括：(1)杭州天润新能源技术有限公司；(2)浙江开尔新材料销售有限公司。
80,215,针对欧盟的REACH法规，联化科技股份有限公司计划采取哪些应对措施？,联化科技股份有限公司," 针对欧盟的REACH法规，计划采取以下应对措施：
1. 与欧盟进口方协商，由欧盟进口方负责产品注册；
2. 公司与国内同类工厂联合注册，共同承担费用；
3. 指定一个欧盟的唯一代理注册。由于2008年6月1日预注册开始，国内企业目前也正在积极研究应对措施，公司将及时跟踪相关信息，届时将根据成本和效益原则，确定需要预注册的产品。"
81,217,在燃煤电厂脱硫工程、空气预热器领域，除浙江开尔新材料股份有限公司外，还有哪些主要的竞争企业？,浙江开尔新材料股份有限公司," 
在燃煤电厂脱硫工程、空气预热器领域，除考登钢和钛合金外，还有其他主要竞争企业，如德国的巴克杜尔公司、英国的豪顿集团等。这些企业在搪瓷波纹板传热元件的设计、制造、安装等方面都有丰富的经验和技术实力。此外，国内也有一些规模较小、技术水平较低的生产企业，但它们在市场上的份额较小，难以与上述大型企业相抗衡。"
82,220,根据招股意向书，预计昇兴集团股份有限公司2015年1-3月实现净利润的范围是？,昇兴集团股份有限公司,"根据给出的材料，可以得出结论：预计2015年1-3月实现净利润的范围是2,770万元至3,180万元。"
83,222,2012年、2013年、2014年，昇兴集团股份有限公司应收账款周转率分别为多少？,昇兴集团股份有限公司,"能否根据给定材料回答问题：能
2012年、2013年、2014年，应收账款周转率分别为7.57、9.40、8.52。"
84,226,宁波立立电子股份有限公司实际控制人是谁？,宁波立立电子股份有限公司,公司实际控制人为王敏文、陈茶花夫妇及其关联人陈卫忠。
85,230,报告期内大博医疗科技股份有限公司涉诉产品销售收入占公司总营收的比例是多少？,大博医疗科技股份有限公司, 0.41%
86,231,深圳市超频三科技股份有限公司募集资金的散热器生产基地建设项目建设地在哪里？,深圳市超频三科技股份有限公司,本项目建成后并不直接产生经济效益，且短期内由于增加固定资产投入而使公司的折旧费用增加，从而对公司的当期盈利能力有一定负面影响，但电子产品散热器行业属于技术密集型行业，公司必须强化研发部门的投入，不断提高产品 的研发能力，使公司保持核心竞争能力。同时，研发能力、产品创新能力的提高，有利于贡献新的业绩增长点，提高公司产品毛利率，从而增强公司的整体盈利能 力，实现股东价值最大化。五、募集资金投资项目的市场前景期内，发行人的产能、产量、销量、产销率本次募集资金投资项目实施地点位于惠州市东江高新科技产业园 DX-30-02-02号，公司已取得该地块土地使用权证（惠府国用（2013）第 13021750020号）。
87,239,南京中电联环保股份有限公司科研带头人是？,南京中电联环保股份有限公司,王政福
88,240,湖南南岭民用爆破器材股份有限公司拥有的核心技术有哪些？,湖南南岭民用爆破器材股份有限公司,"公司拥有如下核心技术：
①提高产品生产、使用安全性技术：公司生产的新型安全鞭炮药剂产品配方中不含氯酸钾，是一种既能显著提高鞭炮药剂的本质安全性，又能达到工业化生产目的以及符合市场要求的新型安全鞭炮药剂，其热感度、摩擦感度、撞击感度同现行的黑火药、白药（含氯酸钾）相比大大降低，而且显著优于国家四部委劳安字[1988]2号文规定的指标。公司通过湖南省科委组织的科学技术成果鉴定会和湖南省经贸委组织的新产品新技术鉴定会，并分别获得了省科委颁发的科学技术成果鉴定证书(湘科鉴字〔2003〕第162号)、省经贸委颁发的新产品新技术鉴定验收证书(湘军工产鉴字〔2003〕12号)和湖南省2004年新产品新技术证书（湘新证字第6206号）。
②增强产品储存稳定性技术：公司和南京理工大学经过共同研究，采用有机含能材料对氧化剂进行改性，极大地增强了产品储存稳定性。"
89,243,森赫电梯股份有限公司产品生产材料是什么？,森赫电梯股份有限公司, 锌铁板、槽钢、H型钢等。
90,244,本次新疆浩源天然气股份有限公司募集资金投资项目有哪些？,新疆浩源天然气股份有限公司,本次募集资金投资项目有三个，分别是阿克苏市中心城区加气站建设项目、喀什市天然气综合利用项目和阿克苏纺织工业城天然气利用工程项目。
91,246,在本招股意见书签署的未来两年，新疆浩源天然气股份有限公司在城市管网总长度方面将主要完成的经营目标是什么？,新疆浩源天然气股份有限公司,在未来两年，公司计划新增城市管网长度40公里，总长度达到120公里。
92,249,内蒙古君正能源化工股份有限公司的注册时间是什么日期？注册资本是多少元？,内蒙古君正能源化工股份有限公司,该资料中没有提供关于注册时间和注册资本的具体信息。
93,258,昇兴集团股份有限公司因租赁厂房存在经营风险的下属企业是什么？,昇兴集团股份有限公司,中山昇兴目前生产经营使用的厂房系租赁取得。
94,259,报告期内，华瑞电器股份有限公司人工成本占主营业务成本的比例分别为多少？,华瑞电器股份有限公司,"2014年到2016年，公司人工成本占主营业务成本的比例分别为12.31%,13.54%和14.00%。"
95,260,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入分别是多少？,武汉兴图新科电子股份有限公司,依据给定材料，来自军用领域的收入分别是2500万美元和3168.87万美元。
96,261,内蒙古君正能源化工股份有限公司的董事会成员是谁？,内蒙古君正能源化工股份有限公司,董事会成员包括王董事长、李副董事长、陈董事、赵董事、钱董事。
97,262,报告期内，深圳市超频三科技股份有限公司制造费用占主营业务成本比例分别为多少？,深圳市超频三科技股份有限公司,14.91%、16.24%、16.18%
98,265,西安启源机电装备股份有限公司控股子公司是谁？公司持有其多少的股份？,西安启源机电装备股份有限公司,"截至2021年6月30日，发行人的子公司包括1家一级子公司和3家二级子公司，分别为发行人之子公
司赛诺特(北京)安全印务有限公司(以下简称“赛诺特""),北京空港富视国际科技产业发展有限公司(以
下简称“空港富视""),北京华宇鸿软信息技术有限公司(以下简称“华宇鸿软"")以及北京华宇九歌信息技
术有限公司(以下简称""华宇九歌"")。此外，赛诺特还有一家全资子公司——北京华宇智云科技有限公司.
发行人间接持有赛诺特100%的股权;直接持有空港富视70%股权,间接持有空港富视30%股权;直接持
有华宇鸿软100%股权;直接持有华宇九歌90%股权,间接持有华宇九歌10%股权。"
99,267,确成硅化学股份有限公司的子公司无锡东沃经营范围是？,确成硅化学股份有限公司,子公司无锡东沃经营范围：生产硫酸；生产中压蒸汽、电。
100,272,窦剑文先生持有兰州海默科技股份有限公司多少股权？,兰州海默科技股份有限公司,"能否根据给定材料回答问题：能
窦剑文先生持有30.724%的股权。"
101,276,2014年度、2015年度以及2016年度湖南国科微电子股份有限公司向前五大客户销售的金额占同期营业收入的比例分别是多少？,湖南国科微电子股份有限公司," 2014年度、2015年度以及2016年度向前五大客户销售的金额占同期营业收入的比例分别为98.20%,75.78%和81.74%。"
102,277,截至2014 年12 月31 日，读者出版传媒股份有限公司共有员工多少人？,读者出版传媒股份有限公司,"截至2014年12月31日，共有员工597人。

说明：根据给定材料中的""2014年12月31日，公司共有在册员工597人""一句可得答案。"
103,279,2020年10月6日，上海真兰仪表科技股份有限公司的注册资本由多少增加到多少？,上海真兰仪表科技股份有限公司,"2020年10月，公司注册资本由20,800万元增加到21,900万元。"
104,285,华达汽车科技股份有限公司在高效电池正极材料领域的技术水平如何？掌握了哪些技术？,华达汽车科技股份有限公司,"经过长期的生产实践和研发，公司在自动化冲压模具的设计与研究、螺母板成形模具与工艺优化、冲压过程CAD仿真技术及优化技术研究、高强度冲压件应用开发及冷冲压模具成型工艺研发、多工位级进模具研发等方面做了大量研究，积累了一大批在乘用车冲压及焊接零部件行业的核心工艺技术。由于发行人拥有 的核心技术众多，主要核心技术如下：
1、乘用车车身新型轮罩总成生产技术
2、乘用车镁铝合金油箱保护板生产技术
3、乘用车隔热板、发动机隔热罩生产技术
4、乘用车身高强度侧围加强板生产技术"
105,286,浙江开尔新材料股份有限公司实际控制人承诺如何处理因未执行社会保险及住房公积金制度而产生的损失或义务？,浙江开尔新材料股份有限公司,根据给定材料，实际控制人在2010年9月17日承诺：“如因发行人或子公司未执行社会保险及住房公积金制度而产生的损失或义务，将由其承担，保证发行人和子公司不因此遭受任何损失。”因此，可以依据给定材料回答问题。
106,290,2015年度和2016年度，深圳市超频三科技股份有限公司营业收入分别同比变动多少？,深圳市超频三科技股份有限公司,2015年度营业收入相比2014年度减少了19.68%，2016年度营业收入相比2015年度增加了9.90%。
107,293,根据招股意向书，2015年国家下调天然气价格后，对大连派思燃气系统股份有限公司未来经营活动的影响是什么？,大连派思燃气系统股份有限公司, 2015年国家下调天然气价格，有利于降低燃气电厂的运营成本，预计未来我国燃气电厂的建设规模和数量将有所增加，从而对公司未来经营活动产生积极影响。
108,294,青海互助青稞酒股份有限公司的实际控制人是谁？共有几人？,青海互助青稞酒股份有限公司,公司的实际控制人为李银会，共有4位一致行动人，分别为李银会、华实投资、北京天同和深圳嘉木。
109,303,根据东莞勤上光电股份有限公司招股意向书，全球率先整体用LED路灯替换传统路灯的案例是？,东莞勤上光电股份有限公司,全球率先整体用LED路灯替换传统路灯的案例是？
110,305,什么公司、在何时与浙江双飞无油轴承股份有限公司发生了产品争议事项？产品争议事项是否已经解决？,浙江双飞无油轴承股份有限公司," 2011年4月8日，发行人与米思米（中国）精密机械贸易有限公司签订《基本交易合同》，合同中规定“该商品的所有权及丢失、损毁等风险负担，自该商品交付完毕时起，由乙方转移至甲方”。2016年12月27日，发行人与L.C.KOREA CO.,LTD签订《框架合同》，合同中对交付及付款作出如下约定“LC在收到卖方货物后30天内将ZOB所发货物款付清。ZOB提供发票和装箱单以及合同规定的其他单证给LC”，“ZOB应将合同产品运到LC指定的地点，运费承担按基本订单执行”。因此，公司与米思米（中国）精密机械贸易有限公司、L.C.KOREA CO.,LTD分别于2011年4月8日、2016年12月27日发生了产品争议事项。产品争议事项是否已经解决没有明确说明。"
111,306,深圳信立泰药业股份有限公司本次募集资金项目拟投资总额为多少？,深圳信立泰药业股份有限公司,"本次募集资金项目拟投资总额为16,520万元。"
112,312,森赫电梯股份有限公司获得多少项国内专利？其中有多上项发明专利？,森赫电梯股份有限公司,根据给定材料，公司获得的国内专利数量为171项，其中发明专利为17项。
113,314,江苏爱康太阳能科技股份有限公司注册资本是多少？,江苏爱康太阳能科技股份有限公司,"15,000万元"
