,id,question,company,answer
23,67,森赫电梯股份有限公司是否有技术创新方面的认定称号？是什么？,森赫电梯股份有限公司,"能
森赫电梯股份有限公司为国家高新技术企业，2014 年 9 月 29 日公司通过高新技术企业资格复审并取得了高新技术企业证书（编号：CF201433000005），有效期三年；2017年11月13日公司通过高新技术企业资格复审并取得了高新技术企业证书（编号：GR201733000467），有效期三年；2020年12月1日公司通过高新技术企业资格复审并取得了高新企业证书（编号：GR202033002209），有效期三年。因此，森赫电梯股份有限公司有技术创新方面的认定称号，是高新技术企业。"
24,69,珠海健帆生物科技股份有限公司的哪些产品被认定为广东省高新技术产品？,珠海健帆生物科技股份有限公司,"能否根据给定材料回答问题：是
答案：血液灌流器、DNA免疫吸附柱、一次性使用血浆胆红素吸附柱、一次性使用血液透析浓缩液、血液透析滤过装置、血液灌流机、活性炭载血浆灌流器、DNA免疫吸附柱、一次性使用血浆胆红素吸附柱、一次性使用血液透析浓缩液、血液透析滤过装置、血液灌流机、活性炭载血浆灌流器。"
25,72,深圳信立泰药业股份有限公司专门的研发机构信立泰技术中心工作人员中，多大比例的人员为本科以上学历？,深圳信立泰药业股份有限公司,"能否根据给定材料回答问题：是
答案：深圳信立泰药业股份有限公司没有披露其研发机构信立泰技术中心工作人员的具体比例。"
26,73,新疆浩源天然气股份有限公司2012 年1-6 月的营业毛利为多少，综合毛利率为多少？,新疆浩源天然气股份有限公司,"能否根据给定材料回答问题：能
答案：新疆浩源天然气股份有限公司2012年1-6月的营业毛利为28,292,936.80元，综合毛利率为27.50%。"
27,81,报告期内确成硅化学股份有限公司 _出口退税率为多少？,确成硅化学股份有限公司,"能否根据给定材料回答问题：能
答案：2017年、2018年、2019年和2020年1-6月，公司所享受的出口“免、抵、退”税金额分别为4,222.14万元、4,578.78万元、5,795.55万元和3,033.95万元，占当期利润总额的比重分别为18.83%、14.34%、18.24%和31.16%，公司出口产品的增值税执行“免、抵、退”政策，报告期内公司出口退税率为10%，产品退税政策较为稳定；自2020年3月20日起，公司产品出口退税率提高至13%。"
28,84,除浙江双飞无油轴承股份有限公司外，具有规模的自润滑轴承生产企业还有哪些？,浙江双飞无油轴承股份有限公司,"能否根据给定材料回答问题：能
答案：我国自润滑轴承生产企业主要集中在浙江嘉兴地区，目前我国生产规模最大
的三家企业为浙江长盛滑动轴承股份有限公司、浙江双飞无油轴承股份有限公司、浙江中达精密部件股份有限公司，这三家公司以生产中高端轴承为主。"
29,85,深圳信立泰药业股份有限公司主营业务是什么？,深圳信立泰药业股份有限公司,"能否根据给定材料回答问题：是
答案：深圳信立泰药业股份有限公司的主营业务是开发研究、生产化学原料药、粉针剂、片剂、胶囊。"
30,88,湖南南岭民用爆破器材股份有限公司的传统市场是哪里？,湖南南岭民用爆破器材股份有限公司,"能
根据给定材料，湖南南岭民用爆破器材股份有限公司的主要业务为工业炸药、工业导火索的生产和销售，其中工业炸药主要品种中四号岩石铵梯油炸药、乳化炸药、膨化硝铵炸药均为高新技术产品。因此，湖南南岭民用爆破器材股份有限公司的传统市场主要是矿山、隧道、水利等领域。"
31,93,根据华瑞电器股份有限公司招股意见书，截至2016年12月31日，宁波胜克总资产为多少万元？,华瑞电器股份有限公司,"能否根据给定材料回答问题：能
答案：截至2016年12月31日，宁波胜克总资产为23,112.16万元。"
32,94,近三年，广东银禧科技股份有限公司存货周转率分别是多少？,广东银禧科技股份有限公司,"能
近三年，广东银禧科技股份有限公司存货周转率分别是1.84次,1.50次,1.56次。"
33,95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,武汉兴图新科电子股份有限公司,"能否根据给定材料回答问题：能
答案：公司参与制定了""超低延时视频编解码、流量热迁移""技术标准。"
34,96,西安启源机电装备股份有限公司的核心产品铁芯剪切设备的收入比重从2007年度和2009年度分别为多少？,西安启源机电装备股份有限公司,"能
80.84%"
35,97,报告期内，湖南国科微电子股份有限公司2014年度、2015年度、2016年度营业收入和净利润分别较上年增长多大幅度？,湖南国科微电子股份有限公司,"能
根据给定材料，湖南国科微电子股份有限公司2014年度、2015年度、2016年度营业收入和净利润分别较上年增长情况如下：
2015年度较2014年度：营业收入增长率为26.53%，净利润增长率为11.03%；
2016年度较2015年度：营业收入增长率为24.80%，净利润增长率为22.97%。
因此，可以回答问题。"
36,105,昇兴集团股份有限公司本次发行的拟上市证券交易所是？,昇兴集团股份有限公司,"能
根据以上材料，昇兴集团股份有限公司本次发行的拟上市证券交易所是深圳证券交易所。"
37,106,2015年度和2016年度，深圳市超频三科技股份有限公司净利润分别同比增长多少？,深圳市超频三科技股份有限公司,"能
2015年度和2016年度，深圳市超频三科技股份有限公司净利润分别同比增长7.74%和7.56%。"
38,112,上海真兰仪表科技股份有限公司实际持有的罗德精密的初始工商登记发起人有哪些？,上海真兰仪表科技股份有限公司,"能
上海真兰仪表科技股份有限公司实际持有的罗德精密的初始工商登记发起人为朵越实业、汪顺来和叶小容。"
39,113,华瑞电器股份有限公司，宁波胜克2016年度实现净利润为多少万元？,华瑞电器股份有限公司,"能否根据给定材料回答问题：能
答案：5994.23万元"
40,121,在2010年，东莞勤上光电股份有限公司在户外半导体照明领域的市场占有率为多少？,东莞勤上光电股份有限公司,"能
根据给定材料，可以得出东莞勤上光电股份有限公司在户外半导体照明领域的市场占有率。"
41,125,报告期内，汉嘉设计集团股份有限公司期末应收账款相对较高的原因是什么？,汉嘉设计集团股份有限公司,"能否根据给定材料回答问题：能
答案：由于房地产企业和政府投资项目回款周期有所延长等原因，导致公司报告期内应收账款增长相对较快，应收账款周转率有所降低。"
42,126,上海真兰仪表科技股份有限公司2020年增资后的投后估值是多少？,上海真兰仪表科技股份有限公司,不能根据给定材料回答问题。
43,129,截至2020年12月31日，湖南长远锂科股份有限公司的控股股东是谁？通过何种方式持有公司多少股权？,湖南长远锂科股份有限公司,"能否根据给定材料回答问题：是
答案：截至2020年12月31日，湖南长远锂科股份有限公司的控股股东是中国五矿集团，通过直接和间接方式持有该公司约60%的股权。"
44,131,深圳市铁汉生态环境股份有限公司的主营业务是什么？,深圳市铁汉生态环境股份有限公司,"能否根据给定材料回答问题：能
答案：深圳市铁汉生态环境股份有限公司的主营业务是生态环境建设工程施工，包括水土保持、生态修复、园林绿化工程施工和园林养护、生态环保产品的技术开发等。"
45,132,深圳市超频三科技股份有限公司生产产品所需的主要直接材料有哪些？,深圳市超频三科技股份有限公司,"能
答案：公司生产产品所需的主要直接材料包括铜、铝、钢等金属原材料，以及塑料粒子、硅胶等非金属原材料。此外，还包括电子元器件、光学镜片等辅助材料。"
46,133,报告期内，确成硅化学股份有限公司对外销售的部分硫酸产品是什么规格？,确成硅化学股份有限公司,能
47,134,森赫电梯股份有限公司与哪些高等教育机构开展合作？,森赫电梯股份有限公司,"能否根据给定材料回答问题：是
答案：森赫电梯股份有限公司与下列高等教育机构开展合作：
1. 浙江大学
2. 同济大学
3. 南京工业大学
4. 湖州师范学院
5. 华侨大学
6. 宁波工程学院
7. 苏州科技大学
8. 常州大学
9. 南京邮电大学
10. 安徽建筑大学
11. 中国计量大学
12. 福州大学
13. 广西大学
14. 长春理工大学
15. 北京航空航天大学
16. 中山大学
17. 西安交通大学
18. 东南大学
19. 南京航空航天大学
20. 武汉理工大学
21. 大连理工大学
22. 天津大学
23. 清华大学
24. 哈尔滨工业大学
25. 上海交通大学
26. 中国科学技术大学
27. 中南大学
28. 北京师范大学
29. 南京大学
30. 中国人民大学
31. 北京大学
32. 复旦大学
33. 中山大学
34. 南京大学
35. 清华大学
36. 北京大学
37. 中国科学技术大学
38. 南京航空航天大学
39. 南京理工大学
40. 南京邮电大学
41. 江苏科技大学
42. 苏州科技大学
43. 常州大学
44. 宁波大学
45. 宁波工程学院
46. 浙江工商大学
47. 浙江财经大学
48. 浙江工业大学
49. 杭州电子科技大学
50. 浙江中医药大学
51. 浙江大学城市学院
52. 浙江大学软件学院
53. 浙江大学远程教育中心
54. 浙江大学继续教育学院
55. 浙江大学研究生院
56. 浙江大学国际教育学院
57. 浙江大学工程师学院
58. 浙江大学软件学院
59. �"
48,135,西安启源机电装备股份有限公司董事是谁？,西安启源机电装备股份有限公司,"能否根据给定材料回答问题：能
答案：西安启源机电装备股份有限公司的董事包括姜群、陈元华、薛彦俊、赵刚、赵利军、秦金杨、许树森、郭新安、边芳军等人。"
49,136,2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是多少？,大博医疗科技股份有限公司,"能否根据给定材料回答问题：能
答案：2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是62.5%。"
50,140,南京中电联环保股份有限公司的经营范围是？,南京中电联环保股份有限公司,"能否根据给定材料回答问题: 是
答案：南京中电联环保股份有限公司的经营范围是？"
51,144,青海互助青稞酒股份有限公司的主营业务是什么？,青海互助青稞酒股份有限公司,"能否根据给定材料回答问题：能
答案：青海互助青稞酒股份有限公司的主营业务是青稞酒的研发、生产和销售。"
52,146,湖南国科微电子股份有限公司业务分为哪些产品线？,湖南国科微电子股份有限公司,"能否根据给定材料回答问题：能
答案：湖南国科微电子股份有限公司业务分为以下产品线：广播电视芯片、固态存储芯片、安防监控芯片、物联网芯片以及相关模块和解决方案。"
53,148,珠海健帆生物科技股份有限公司的核心技术产品有哪些？,珠海健帆生物科技股份有限公司,"能
珠海健帆生物科技股份有限公司的核心技术产品包括血液灌流器、胆红素血浆分离器、DNA免疫吸附柱、血液透析浓缩液、一次性使用精密过滤输液器等。"
54,149,湖南长远锂科股份有限公司所属细分子行业是什么？,湖南长远锂科股份有限公司,"能否根据给定材料回答问题: 是
答案：湖南长远锂科股份有限公司所属细分子行业为锂电池行业。"
55,155,浙江开尔新材料股份有限公司主要消耗的能源是什么？,浙江开尔新材料股份有限公司,"能否根据给定材料回答问题: 是
答案： 浙江开尔新材料股份有限公司主要消耗的能源是电力。"
56,157,云南沃森生物技术股份有限公司的第一个产品是什么？何时上市？,云南沃森生物技术股份有限公司,"能否根据给定材料回答问题：是
答案：云南沃森生物技术股份有限公司的第一个产品是冻干乙型肝炎疫苗（汉逊 strain），于2005年上市。"
57,160,湖南南岭民用爆破器材股份有限公司技术中心现有多少研发人员？其中具有高级职称和中级职称的人员分别有多少人？,湖南南岭民用爆破器材股份有限公司,"能否根据给定材料回答问题: 可以
答案： 研发人员数量不确定，因为材料中没有提到。但是，高级工程师有10人，中级工程师有12人。"
58,163,常熟风范电力设备股份有限公司的主营业务是什么？ 是否在报告期内发生重大变化？,常熟风范电力设备股份有限公司,"能否根据给定材料回答问题: 是
回答： 常熟风范电力设备股份有限公司的主营业务是生产和销售各类输电线铁塔、钢管杆、变电站构支架及其它钢结构件，属于金属制品行业。公司在报告期内主营业务未发生重大变化。"
59,164,联化科技股份有限公司目前的主要产品是什么？,联化科技股份有限公司,"能否根据给定材料回答问题：能
答案：联化科技股份有限公司目前的主要产品包括医药中间体、农药中间体、精细化学品及新能源材料等。"
60,165,依据招股意向书，常熟风范电力设备股份有限公司本次发行股票数量是多少？,常熟风范电力设备股份有限公司,"能否根据给定材料回答问题：能
答案：常熟风范电力设备股份有限公司本次发行股票数量为6,908万股。"
61,169,根据大连派思燃气系统股份有限公司招股意向书，预计到2030年，天然气发电用气在天然气消费结构中的比例将上升到多少？,大连派思燃气系统股份有限公司,"能否根据给定材料回答问题: 是
答案: 7.5%"
62,171,青海互助青稞酒股份有限公司主要困难是什么？,青海互助青稞酒股份有限公司,"能否根据给定材料回答问题: 是
答案： 公司面临的主要困难包括市场竞争激烈、产品结构不合理、品牌知名度较低、营销网络覆盖面不够广、资金压力较大等方面。"
63,174,兰州海默科技股份有限公司的主营业务有何季节性特征？,兰州海默科技股份有限公司,"能
根据给定材料，可以得出兰州海默科技股份有限公司的主营业务是多相流量计的研发、生产、销售和售后技术服务，以及移动测井服务和钻井服务收入。由于没有提供具体的信息，无法得出其业务的季节性特征。"
64,175,汉嘉设计集团股份有限公司法定代表人是谁？,汉嘉设计集团股份有限公司,"能
汉嘉设计集团股份有限公司法定代表人为岑政平。"
65,179,湖南国科微电子股份有限公司的主营业务是什么？,湖南国科微电子股份有限公司,"能否根据给定材料回答问题：能
答案：湖南国科微电子股份有限公司的主营业务是集成电路设计、开发、生产业务，专注于广播电视、固态存储、安防监控、物联网领域大规模集成电路与解决方案开发。"
66,182,江苏爱康太阳能科技股份有限公司拥有的参股子公司是哪些？,江苏爱康太阳能科技股份有限公司,"能否根据给定材料回答问题：能
答案：爱康国际、日本真木技术株式会社、久保友志郎"
67,184,西安启源机电装备股份有限公司专用设备销售价格波动的主要原因是什么？,西安启源机电装备股份有限公司,"能否根据给定材料回答问题: 是
答案： 西安启源机电装备股份有限公司专用设备销售价格波动的主要原因可能是由于市场供需关系的变化、原材料价格的波动以及产品销售策略的调整等因素引起的。"
68,185,从长期来看，影响烟台杰瑞石油服务集团股份有限公司所处行业景气程度的因素有哪些？,烟台杰瑞石油服务集团股份有限公司,"能否根据给定材料回答问题: 是
答案： 2008年，公司发生的销售费用为1,947.13万元，比2007年增长51.38%。从明细科目来看，销售费用增长的原因是：①公司规模扩大、营销人员人数增加以及薪酬标准提高，导致工资以及相应的社会保险金增长；②公司为了开拓市场，加大了国内外石油机械设备展览会的参展力度，导致参展费大幅度增加；③公司生产的油田专用设备发生的售后服务费用增加。根据销售合同，公司对生产的油田专用设备产品提供1年的质保期，质保期内发生的售后服务费用通过“销售费用—售后服务费用”科目核算，报告期内公司发生的售后服务费用主要集中在对车载产品的售后服务方面。2007年以前，公司尚未生产车载产品，产品的售后服务费用发生较少，因此未单独分类核算；2008年度，随着车载产品的陆续生产与销售，公司相应发生了售后服务费用123.66万元。2009年1-6月，公司油田专用设备制造业务同比增长较快，而售后服务费用并没有保持同步的增速，主要原因为：一是受益于产品技术的进一步成熟和质量管理体系的进一步完善，公司产品质量及稳定性逐步提升，有效降低了产品的售后服务频率和费用；二是售后服务费用发生在交付产品后1年内，具有滞后性，2008年度、2009年1-6月发生的售后服务费用分别是针对间隔期1年以内交付产品发生的，2008年度与2007年度相比，公司油田专用设备产品销售收入变化不大，所以2009年1-6月的售后服务费用与2008年同期相比变化不大；三是公司油田专用设备产品国外销售比例持续增长，而国外客户对售后服务要求较为宽松，也使得公司售后服务费用变化未与油田专用设备制造业务收入变化同步。2006年、2007年及2008年，随着业务规模的扩张特别是运输成本较高的国外销售业务的增加，公司的运杂费也持续增长。2009年1-6月，公司的运杂费在主营业务收入同比快速增长的情况下并没有保持同步的增速，主要是由公司出口产品交货方式的变化造成的，2009年1-6月公司的主要出口项目选择了工厂交货方式（EXW），而2008年度公司出口项目主要选择离岸价格（FOB）交付方式，离岸前国内环节"
69,186,北京天宜上佳高新材料股份有限公司外购件有哪些？,北京天宜上佳高新材料股份有限公司,"能否根据给定材料回答问题：能
答案：北京天宜上佳高新材料股份有限公司外购件主要包括电子元器件、电器、机加件、铸件等。"
70,189,浙江双飞无油轴承股份有限公司目前的主要产品应用在哪些下游领域？,浙江双飞无油轴承股份有限公司,"能否根据给定材料回答问题: 是
答案：浙江双飞无油轴承股份有限公司目前的主要产品应用在汽车制造、工程机械、模具制造、液压设备、塑料机械等十几个行业。"
71,194,昇兴集团股份有限公司的主要产品是什么？其主要原材料是什么？,昇兴集团股份有限公司,"能否根据给定材料回答问题：能
答案：昇兴集团股份有限公司的主要产品是金属包装产品，包括三片罐和二片罐。其主要原材料是马口铁和铝材。"
72,197,新疆浩源天然气股份有限公司从事的业务具有较为明显的区域性特征，主要体现在什么方面？,新疆浩源天然气股份有限公司,"能否根据给定材料回答问题: 是
答案： 新疆浩源天然气股份有限公司从事的业务具有较为明显的区域性特征，主要体现在其特许经营权的区域范围上。根据给定材料，该公司已经在阿克苏地区的多个县市取得了30年的城市燃气特许经营权，在相当长的时期内，将在特许经营区域内独家经营城市管道燃气业务。因此，该公司的业务主要集中在阿克苏地区，呈现出较强的区域性特征。"
73,199,宁波立立电子股份有限公司本次发行多少股？,宁波立立电子股份有限公司,"能否根据给定材料回答问题：能
答案：2600万股"
74,200,截至2011年，内蒙古君正能源化工股份有限公司正在从事的研发项目有哪些？,内蒙古君正能源化工股份有限公司,"能否根据给定材料回答问题：能
答案：内蒙古君正能源化工股份有限公司正在从事的研发项目包括:
1. 乌海市君正能源化工有限责任公司动力分厂 2×330MW 热电联产机组工程技术研发项目
2. 内蒙古君正化工有限责任公司年产 20万吨 PVC 树脂配套 10 万吨烧碱工程技术研发项目
3. 内蒙古君正化工有限责任公司年产 12万吨氯乙烯单体工程技术研发项目
4. 内蒙古君正化工有限责任公司年产 10万吨聚氯乙烯糊树脂工程技术研发项目
5. 君正化工固荷污水处理站技术改造工程技术研发项目
6. 君正化工危废处理装置技术改造工程技术研发项目
7. 内蒙古君正化工有限责任公司合成氨改造工程技术研发项目
8. 内蒙古君正化工有限责任公司离子膜烧碱装置节能综合改造工程技术研发项目
9. 内蒙古君正化工有限责任公司电石炉气综合利用技术改造工程技术研发项目
10. 内蒙古君正化工有限责任公司电石炉尾气回收利用工程技术研发项目"
75,202,大连派思燃气系统股份有限公司在哪些年份获得了美国GE公司的奖项？,大连派思燃气系统股份有限公司,"能否根据给定材料回答问题：是
答案：2002年"
76,206,森赫电梯股份有限公司境外销售的获客方式有哪些？,森赫电梯股份有限公司,"能否根据给定材料回答问题: 是
答案： 森赫电梯股份有限公司境外销售的获客方式主要包括以下几种：
1. 通过使领馆推介获取相关客户资源；
2. 通过国内各贸促会、商贸协会引荐与海外前外交人员建立长期沟通交流机制；
3. 积极参加国外电梯展会和综合博览会，并举办品牌推介会；
4. 在海外市场投放广告以获取客户资源；
5. 通过世界浙商大会和浙商总会年会，进行商务沟通洽谈，实现外贸资源共享。"
77,207,武汉兴图新科电子股份有限公司计划使用本次发行募集资金的多少用于补充流动资金？,武汉兴图新科电子股份有限公司,"能否根据给定材料回答问题：能
答案：截至报告期末，兴图新科及其子公司共有在职员工 412人。"
78,208,烟台杰瑞石油服务集团股份有限公司在成立以来业务范围如何扩展？,烟台杰瑞石油服务集团股份有限公司,"能
烟台杰瑞石油服务集团股份有限公司在成立以来，业务范围不断扩展，从最初的油田矿山机械及配件、工程机械及配件的出口业务，到设立子公司从事海上钻采平台的岩屑回注服务及固井、压裂、酸化等泵送类工程技术服务，再到从事油田测井仪器、石油钻采设备、压缩机橇的生产等，涉及的业务领域越来越广泛。"
79,209,截至本招股意向书签署日，浙江开尔新材料股份有限公司的全资子公司是哪些？,浙江开尔新材料股份有限公司,"能否根据给定材料回答问题: 是
答案： 
截至招股意向书签署日，浙江开尔新材料股份有限公司的全资子公司包括：(1) 上海开尔搪瓷有限公司 (2) 开尔新材料香港(国际)有限公司"
80,215,针对欧盟的REACH法规，联化科技股份有限公司计划采取哪些应对措施？,联化科技股份有限公司,"能否根据给定材料回答问题: 是
答案： 
针对欧盟的REACH法规，联化科技股份有限公司计划采取以下应对措施：
1. 建立健全公司内部的化学品管理流程和制度，加强对化学品的安全管理和环保责任。
2. 对公司生产和使用的化学品种类进行梳理，识别出高风险物质，制定相应的风险控制措施。
3. 参加相关的培训和会议，了解最新的REACH法规要求和技术标准，保持与国际接轨。
4. 与上游供应商和下游客户加强沟通和合作，共同应对REACH法规带来的挑战。"
81,217,在燃煤电厂脱硫工程、空气预热器领域，除浙江开尔新材料股份有限公司外，还有哪些主要的竞争企业？,浙江开尔新材料股份有限公司,"能否根据给定材料回答问题: 是
答案： 浙江开尔新材料股份有限公司在燃煤电厂脱硫、空气预热器领域的主要竞争企业包括：英国豪顿集团、无锡巴克杜尔、阿尔斯通技术服务为代表的外资（国）企业和河北郁宏、江通电力等内资企业。"
82,220,根据招股意向书，预计昇兴集团股份有限公司2015年1-3月实现净利润的范围是？,昇兴集团股份有限公司,"根据招股意向书，预计昇兴集团股份有限公司2015年1-3月实现净利润的范围是？回答能
答案：根据给定材料无法回答该问题。"
83,222,2012年、2013年、2014年，昇兴集团股份有限公司应收账款周转率分别为多少？,昇兴集团股份有限公司,"能
2012年、2013年、2014年，昇兴集团股份有限公司应收账款周转率分别为7.29，7.96，8.52。"
84,226,宁波立立电子股份有限公司实际控制人是谁？,宁波立立电子股份有限公司,"能否根据给定材料回答问题：是
答案：宁波立立电子股份有限公司的实际控制人是陈伯良。"
85,230,报告期内大博医疗科技股份有限公司涉诉产品销售收入占公司总营收的比例是多少？,大博医疗科技股份有限公司,不能根据给定材料回答问题。
86,231,深圳市超频三科技股份有限公司募集资金的散热器生产基地建设项目建设地在哪里？,深圳市超频三科技股份有限公司,"能否根据给定材料回答问题：是
答案：根据给定材料，深圳市超频三科技股份有限公司募集资金的散热器生产基地建设项目的建设地在惠州市仲恺高新区东江高新科技产业园（东兴片区）。"
87,239,南京中电联环保股份有限公司科研带头人是？,南京中电联环保股份有限公司,"能否根据给定材料回答问题: 是
答案：王政福"
88,240,湖南南岭民用爆破器材股份有限公司拥有的核心技术有哪些？,湖南南岭民用爆破器材股份有限公司,"能否根据给定材料回答问题：能
答案： 湖南南岭民用爆破器材股份有限公司拥有的核心技术有：四号岩石铵梯油炸药、乳化炸药、膨化硝铵炸药均为高新技术产品。"
