,id,question,formatted_answer
252,395,我想知道在2021年，摩根基金管理(中国)有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2021年，摩根基金管理(中国)有限公司已发行的基金中，有29只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)。
253,396,请查询在2021年度，600373股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,抱歉，我无法为您提供准确的答案，因为我无法查询股票涨停天数的具体数据。
254,397,我想知道在2020年，广发基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2020年，广发基金管理有限公司已发行的基金中，有108只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)。
255,402,我想知道股票601086在申万行业分类下的二级行业是什么？用最新的数据。,股票601086在申万行业分类下的二级行业是一般零售。
256,403,请帮我查询下，在2019年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,在2019年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是XXX基金，差额为XXX份额。
257,405,请帮我计算，在20190114，中信行业分类划分的一级行业为建材行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,抱歉，我无法回答这个问题，因为我无法获取20190114中信行业分类划分的一级行业为建材行业中，涨跌幅最大股票的股票代码和涨跌幅数据。
258,406,请问在机械设备行业，20190508行业的A股公司有多少?,在机械设备行业，20190508行业的A股公司有536家。
259,407,我想知道国寿安保基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,国寿安保基金管理有限公司在2020年成立了20只管理费率小于0.8%的基金。
260,408,20200722日，一级行业为化工的股票的成交金额合计是多少？取整。,抱歉，我无法回答你的问题，因为数据库中没有关于20200722日化工行业股票成交金额的数据。
261,409,博时基金管理有限公司管理的债券型产品的数量有多少?,博时基金管理有限公司管理的债券型产品的数量有50个。
262,410,请列出工银瑞信基金管理有限公司在2019年成立并且托管人为平安银行股份有限公司的所有基金的基金托管费率的平均数。,工银瑞信基金管理有限公司在2019年成立并且托管人为平安银行股份有限公司的所有基金的基金托管费率的平均数为0.1。
263,411,20211229日，请给出工银瑞信消费行业股票A基金的管理人和累计单位净值。,工银瑞信基金管理有限公司管理着工银瑞信消费行业股票A基金，截止20211229日，该基金的累计单位净值为1.493。
264,412,20190318日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20190318日，开盘价较上一交易日最高价高的股票有1619160只。
265,413,"请查询：2021年12月年报(含半年报),持有21昆山农商二级且是前10大重仓股的基金有几个？",根据查询结果，2021年12月年报(含半年报)中持有21昆山农商二级且是前10大重仓股的基金数量为0个。
266,414,"请帮我查询下，在20211117，申万行业分类里一级行业为商业贸易行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",在20211117，申万行业分类里一级行业为商业贸易行业的所有股票里，成交金额最多的股票代码是XXXXX，成交金额为XXXXX元。
267,415,嘉实基金管理有限公司管理的混合型产品的数量有多少?,嘉实基金管理有限公司管理的混合型产品的数量有38个。
268,417,招商基金管理有限公司2019年成立了多少基金?,招商基金管理有限公司2019年成立了36只基金。
269,419,海富通稳健养老目标一年持有期混合(FOF)A基金在20210331的季报里，前三大持仓占比的债券名称是什么?,海富通稳健养老目标一年持有期混合(FOF)A基金在20210331的季报里，前三大持仓占比的债券名称是20国债15。
270,420,请列出汇添富基金管理股份有限公司在2020年成立并且托管人为中国农业银行股份有限公司的所有基金的基金托管费率的平均数。,汇添富基金管理股份有限公司在2020年成立并且托管人为中国农业银行股份有限公司的所有基金的基金托管费率的平均数为0.15。
271,422,在2020年6月7日，使用中信行业分类标准，股票代码002162是属于哪个一级行业的?,股票代码002162在2020年6月7日使用中信行业分类标准属于建材一级行业。
272,425,中国铁路通信信号股份有限公司本次上市选择的标准为预计市值不低于人民币多少？最近一年营业收入不低于人民币多少？,中国铁路通信信号股份有限公司本次上市选择的标准为预计市值不低于人民币150亿元，最近一年营业收入不低于人民币60亿元。
273,426,"在20211231的年报(含半年报)中，泰康长江经济带债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",在20211231的年报(含半年报)中，泰康长江经济带债券A基金的债券持仓中，其持有最大仓位的债券类型是金融债券。
274,427,在2020年报中，方正富邦沪深300ETF基金第一大重仓股的代码和股票名称是什么？,在2020年报中，方正富邦沪深300ETF基金第一大重仓股的代码是600519，股票名称是贵州茅台。
275,428,股票002648在20210803日期中的收盘价是多少?（小数点保留3位）,股票002648在20210803日期中的收盘价是39.95。
276,429,南方基金管理股份有限公司2020年成立了多少基金?,南方基金管理股份有限公司在2020年成立了79只基金。
277,431,"在20211231的年报(含半年报)中，广发资管乾利一年持有期债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",在20211231的年报(含半年报)中，广发资管乾利一年持有期债券A基金的债券持仓中，其持有最大仓位的债券类型是可转换债券。
278,432,请列出华宝基金管理有限公司在2019年成立并且托管人为中国民生银行股份有限公司的所有基金的基金托管费率的平均数。,华宝基金管理有限公司在2019年成立并且托管人为中国民生银行股份有限公司的所有基金的基金托管费率的平均数为0.1。
279,433,我想知道股票000060在申万行业分类下的二级行业是什么？用最新的数据。,股票000060在申万行业分类下的二级行业是工业金属。
280,434,请帮我查询下，在2019年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,在2019年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是XXX基金，差额为XXXX份。
281,435,20201116日，一级行业为电气设备的股票的成交金额合计是多少？取整。,20201116日，一级行业为电气设备的股票的成交金额合计是46759460190013.0元。
282,439,"我想了解一下金鹰基金管理有限公司2019年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",金鹰基金管理有限公司2019年成立的债券型基金的管理费率的平均值是0.43，四舍五入保留小数点两位。
283,440,2019年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2019年一季度，共有3310家基金发生了净赎回，总共赎回了700427016977.06份额。
284,441,请问在基础化工行业，20201215行业的A股公司有多少?,在基础化工行业，20201215行业的A股公司共有425家。
285,442,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，中信行业分类行业划分标准,电力及公用事业一级行业中, 代码为多少的股票的日均收益率最高？",抱歉，我无法回答这个问题，因为我无法找到2019年中信行业分类行业划分标准中电力及公用事业一级行业中代码为多少的股票的日均收益率最高。
286,443,"在20210630的年报(含半年报)中，鹏华可转债债券C基金的债券持仓,其持有最大仓位的债券类型是什么?",在20210630的年报(含半年报)中，鹏华可转债债券C基金的债券持仓中，其持有最大仓位的债券类型是可转债。
287,444,"请帮我查询下，在20200617，中信行业分类里一级行业为钢铁行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",抱歉，由于数据中存在歧义列名“股票代码”，我无法准确回答您的问题。请您提供更具体的列名或者重新构造问题，谢谢。
288,445,嘉实基金管理有限公司2020年成立了多少基金?,嘉实基金管理有限公司在2020年成立了49只基金。
289,446,20190812日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20190812日，开盘价较上一交易日最高价高的股票有801294只。
290,448,我想知道在20211231的季报里，鹏扬添利增强债券A投资的股票分别是哪些申万一级行业？,在20211231的季报里，鹏扬添利增强债券A投资的股票分别是传媒申万一级行业。
291,450,"帮我算一下在20200617,代码为00878的港股日价格振幅是多少，小数点后保留不超过3位。","抱歉，我无法回答你的问题，因为我无法获取20200617,代码为00878的港股日价格振幅数据。"
292,451,华瑞股份第二次股权转让引入的外部投资者是？,华瑞股份第二次股权转让引入的外部投资者是中国建设银行股份有限公司。
293,452,大成景乐纯债债券C基金在20210331的季报里，前三大持仓占比的债券名称是什么?,大成景乐纯债债券C基金在20210331的季报里，前三大持仓占比的债券名称是20国开07。
294,454,请帮我查询出20210719日，农林牧渔一级行业涨幅超过5%（不包含）的股票数量。,抱歉，我无法为您提供完整的答案句，因为查询结果中出现了模糊的列名“股票代码”。如果您能提供更清晰的查询条件，我将会尽力为您提供准确的结果。
295,455,"请帮我查询下，在20210319，申万行业分类里一级行业为公用事业行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",在20210319，申万行业分类里一级行业为公用事业行业的所有股票里，成交金额最多的股票代码是000005，成交金额为15789583.0元。
296,456,我想知道光大阳光优选一年持有期混合B基金，在2020年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2020年年度报告中，光大阳光优选一年持有期混合B基金的前10大重仓股中，有38只股票在报告期内取得正收益。
297,457,20191231日，请给出西部利得沣泰债券A基金的管理人和单位净值。单位净值保留两位小数。,抱歉，我无法回答这个问题，因为缺少必要的信息。
298,461,我想知道融通增祥三个月定期开放债券基金在20210630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,根据融通增祥三个月定期开放债券基金在20210630年报（含半年报）显示，其可转债持仓占比最大的行业为中信一级行业中的XX行业。
299,462,20200910港股下跌的股票家数有多少家?,抱歉，我无法找到与您提供的问题相关的答案。
300,463,"请查询：2020年12月年报(含半年报),持有20国际港务SCP012且是前10大重仓股的基金有几个？",根据查询结果，持有20国际港务SCP012且是前10大重仓股的基金数量为0个。
301,465,"我想了解一下长城基金管理有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",长城基金管理有限公司2020年成立的债券型基金的管理费率的平均值是未知的，无法提供具体数字。
302,468,"请帮我查询下，在20190617，申万行业分类里一级行业为建筑材料行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",在20190617，申万行业分类里一级行业为建筑材料行业的所有股票里，成交金额最多的股票代码是000012，成交金额为27567209.0元。
303,469,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,抱歉，我无法直接查询2021年度报告中个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他类型的数量。这需要具体的数据和报告来进行分析。
304,470,我想知道在20210630的季报里，嘉实中证央企创新驱动ETF联接C投资的股票分别是哪些申万一级行业？,在20210630的季报里，嘉实中证央企创新驱动ETF联接C投资的股票分别是申万一级行业为电子。
305,471,我想知道长信双利优选混合A基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,长信双利优选混合A基金在2021年年度报告中，前10大重仓股中有343只股票在报告期内取得正收益。
306,473,请查询：在20190121，属于申万二级水泥制造行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,抱歉，根据您提供的信息，无法查询到20190121属于申万二级水泥制造行业的A股股票的平均成交金额。
307,474,请帮我查询在截止2020-12-31的报告期间，基金总份额降低的基金数量是多少？,在截止2020-12-31的报告期间，基金总份额降低的基金数量是0。
308,475,帮我查询在2020年12月31日，代码为010058的基金前20大重仓股票中属于中信二级饮料行业的平均市值是多少？小数点后保留不超过3位。,抱歉，我无法回答你的问题。
309,477,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,在2019年的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的混合型基金共有X个。
310,478,在2019年的年度报告里，中泰证券(上海)资产管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,抱歉，我无法回答这个问题，因为我无法找到相关的数据。
311,479,请问在休闲服务行业，20211031行业的A股公司有多少?,在休闲服务行业，20211031行业的A股公司有41家。
312,480,请查询：在20200518，属于申万二级景点行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20200518，属于申万二级景点行业的A股股票的平均成交金额是29062247.36364。
313,481,20191226日，请给出民生加银聚益纯债债券基金的管理人和累计单位净值。,20191226日，民生加银聚益纯债债券基金的管理人为民生加银基金管理有限公司，累计单位净值为X。
314,482,根据招股意见书，截至评估基准日1996年1月31日止，孙瑞良对宁波华瑞出资的资产市场价值为多少？,"根据招股意见书，截至评估基准日1996年1月31日止，孙瑞良对宁波华瑞出资的资产市场价值为1,200万元人民币。"
315,483,请帮我查询在截止2021-03-31的报告期间，基金总份额降低的基金数量是多少？,在截止2021-03-31的报告期间，基金总份额降低的基金数量是0。
316,485,请查询在20201123日期，申万行业分类下食品饮料一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20201123日期，申万行业分类下食品饮料一级行业中，当日收盘价波动最大的股票代码是600866。
317,487,请问在有色金属行业，20191121行业的A股公司有多少?,有色金属行业在20191121有265家A股公司。
318,488,20200302日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,当天没有股票的开盘价较上一交易日最高价高。
319,490,20210531日，请给出易方达恒利3个月定期开放债券基金的管理人和累计单位净值。,易方达恒利3个月定期开放债券基金的管理人是1.0546。
320,492,长江安盈中短债六个月定期开放债券基金在20201231的季报里，前三大持仓占比的债券名称是什么?,长江安盈中短债六个月定期开放债券基金在20201231的季报里，前三大持仓占比的债券名称分别为国家开发银行2020年第三期金融债券、中国进出口银行2020年第一期金融债券和中国农业发展银行2020年第一期金融债券。
321,493,请帮我查询出20210825日，有色金属一级行业涨幅超过5%（不包含）的股票数量。,抱歉，我无法为您提供完整的答案句，因为在您提供的问题中存在错误。请重新提供正确的问题，我会尽力帮助您。
322,495,请查询在20211018日期，中信行业分类下交通运输一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,抱歉，我无法回答这个问题，因为其中涉及到股票代码这个模糊的列名。请提供更具体的股票代码列名，以便我能够准确地为您查询答案。
323,496,帮我查一下在2020年，代码为300476的A股股票今开盘高于昨收盘的天数？,在2020年，代码为300476的A股股票今开盘高于昨收盘的天数为129天。
324,497,华富恒欣纯债债券A基金在20210331的季报里，前三大持仓占比的债券名称是什么?,华富恒欣纯债债券A基金在20210331的季报里，前三大持仓占比的债券名称是国开1702。
325,498,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,在2019年的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的货币型基金共有3个。
326,499,嘉实中债1-3年政策性金融债指数C基金在20211231的季报里，前三大持仓占比的债券名称是什么?,嘉实中债1-3年政策性金融债指数C基金在20211231的季报里，前三大持仓占比的债券名称是21农发清发02。
327,501,截至2009年底，中海达、南方测绘合计占有国产品牌销售额的多大比例？,截至2009年底，中海达、南方测绘合计占有国产品牌销售额的比例为15%。
328,503,帮我查一下广发瑞安精选股票A基金在20211222的资产净值和单位净值是多少?,广发瑞安精选股票A基金在20211222的资产净值为3636730255.53，单位净值为2.0654。
329,504,我想知道工银瑞信双盈债券C基金在20210930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,工银瑞信双盈债券C基金在20210930的季报中，其可转债持仓占比最大的行业是石油石化。
330,505,"请帮我查询下，在20190419，申万行业分类里一级行业为轻工制造行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",在20190419，申万行业分类里一级行业为轻工制造行业的所有股票里，成交金额最多的股票代码是000026，成交金额为44190031.0元。
331,506,景顺长城中短债债券C基金在20210331的季报里，前三大持仓占比的债券名称是什么?,景顺长城中短债债券C基金在20210331的季报里，前三大持仓占比的债券名称是21国开01。
332,507,我想知道股票600373在申万行业分类下的二级行业是什么？用最新的数据。,股票600373在申万行业分类下的二级行业是媒体。
333,508,"请帮我查询下在2020年, 前海开源基金管理有限公司管理的债券型基金中，持有过非公开发行公司债的基金有多少只？",在2020年，前海开源基金管理有限公司管理的债券型基金中，持有过非公开发行公司债的基金数量为0只。
334,509,广州中海达卫星导航技术股份有限公司整体变更前后，股本增加了多少？,广州中海达卫星导航技术股份有限公司整体变更前后，股本增加了约3.64亿元。
335,510,"请查询：2021年12月年报(含半年报),持有20汇金小微债01且是前10大重仓股的基金有几个？",2021年12月年报(含半年报)中，持有20汇金小微债01且是前10大重仓股的基金共有2个。
336,511,2021年年度报告里，光大保德信基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,抱歉，我无法为您提供完整的答案句，因为您提供的答案并不符合问题的要求。
337,512,在2021年12月年报(含半年报)中，朱雀企业优选股票A基金持有市值最多的前10只股票中，所在证券市场是深圳证券交易所的有几个？,在2021年12月年报(含半年报)中，朱雀企业优选股票A基金持有市值最多的前10只股票中，有25只股票所在证券市场是深圳证券交易所。
338,514,请帮我查询出20210120日，综合一级行业涨幅超过5%（不包含）的股票数量。,20210120日，综合一级行业涨幅超过5%（不包含）的股票数量为585264。
339,518,在2020年1月30日，使用中信行业分类标准，股票代码600185是属于哪个一级行业的?,股票代码600185在2020年1月30日使用中信行业分类标准属于房地产一级行业。
340,519,截至2018年末 ，按照国内高速铁路控制系统集成项目累计中标里程统计，中国铁路通信信号股份有限公司的中标里程覆盖率为多少？,截至2018年末，按照国内高速铁路控制系统集成项目累计中标里程统计，中国铁路通信信号股份有限公司的中标里程覆盖率为601003。
341,521,请查询在20200731日期，申万行业分类下家用电器一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20200731日期，申万行业分类下家用电器一级行业中，当日收盘价波动最大的股票代码是605555。
342,522,在2020年的年度报告里，浙江浙商证券资产管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,抱歉，我无法回答这个问题，因为我无法找到相关的数据。
343,523,20191121日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20191121日，成交金额最大的前三家上市公司的股票代码分别是601318、600519和601166。
344,524,旷达汽车织物集团何时设立股份有限公司，注册资本是多少？,旷达汽车织物集团股份有限公司成立于2003年，注册资本为1亿元人民币。
345,525,"我想了解国寿安保灵活优选混合基金,在2021年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",国寿安保灵活优选混合基金在2021年一季度的季报中，第6大重股为贵州茅台。该持仓股票在该季度的涨跌幅为-1.23%，四舍五入保留百分比到小数点两位为-1.23%。
346,528,请问股票代码为300300的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,抱歉，我无法回答这个问题，因为我无法获取股票代码为300300的股票在2019年内日成交量低于该股票当年平均日成交量的交易日数量。
347,529,20190212日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20190212日，成交金额最大的前三家上市公司的股票代码分别是000725、600519和600036。
